airport_ident,length_ft,surface,lighted,closed
06NH,1900,TURF,0,0
06NY,2000,TURF,0,0
06O1,40,CONC,0,0
06OH,2400,TURF,0,0
06OI,2256,TURF-F,0,0
06OK,300,TURF,0,0
06OR,1000,GRAVEL,0,0
06PA,2965,TURF-G,0,0
06PN,15,CONC,0,0
06PN,80,ASPH,0,0
06TA,1900,GRAVEL,0,0
06TE,3500,ASPH,0,0
06TN,2000,TURF-F,0,0
06TT,3129,Turf,0,0
06TX,1680,TURF,0,0
06VA,2000,TURF-G,0,0
06WA,60,ASPH,0,0
06WN,2845,ASPH-G,1,0
06XS,1750,TURF,0,0
06Y,2997,ASPH-G,1,0
07AL,6000,TURF,0,0
07AR,3000,TURF,0,0
07B,3186,TURF-F,0,0
07CL,2220,ASPH,1,0
07CO,3100,TURF,0,0
07FA,4500,ASPH,1,0
07GA,1700,TURF,0,0
07GE,1860,Turf,0,0
07I,15000,WATER,0,0
07IA,1600,Turf,0,0
07II,60,CONC,1,0
07IN,1860,TURF,0,0
07K,3700,CONC-E,1,0
07KS,2000,TURF,0,0
07KY,2000,TURF,0,0
07LS,50,CONC,0,0
07MA,120,TURF,0,0
07MD,1000,TURF,0,0
07ME,900,TURF,0,0
07MI,2904,TURF,0,0
07MN,2600,TURF,0,0
07MO,2700,TURF-GRVL-F,0,0
07MT,13500,CONC-G,1,0
07N,2200,TURF-F,0,0
07NC,2000,TURF,0,0
07NH,2500,WATER,0,0
07NH,2500,WATER,0,0
07NJ,45,ASPH,0,0
07NY,50,ASPH,1,0
07OK,2400,TURF,0,0
07OR,1200,TURF,0,0
07PN,1600,TURF,0,0
07PR,45,CON,1,0
07TA,2200,TURF,1,1
07TA,200,CONC-TURF,1,0
07TE,5000,ASPH,0,0
07TS,2500,TURF,1,0
07TX,400,TURF,0,0
07VA,1600,TURF,0,0
07VT,526,TURF,0,0
07VT,595,TURF,0,0
07WA,53,CONC,0,0
07WY,2200,Turf,0,0
07XA,37,CON,0,0
07XS,30,CONC,0,0
07Y,2850,TURF-G,0,0
08AK,1200,GRVL,0,0
08AL,4000,Water,0,0
08AN,1300,GVL,0,0
08AZ,42,CONC,0,0
08B,1935,TURF-G,1,0
08CA,60,ASPH,0,0
08CL,2000,DIRT,0,0
08CN,50,CONC,1,0
08CO,2600,TURF,0,0
08CT,4700,WATER,0,0
08F,2584,TURF-F,0,0
08FA,3390,TURF,0,0
08FD,4138,TURF,0,0
08FL,2500,TURF,0,0
08G,60,ASPH-G,0,0
08GA,5000,TURF,1,0
08GE,50,CON,0,0
08ID,2500,GRAVEL,0,0
08II,30,CONC,0,0
08IN,5000,WATER,0,0
08IS,1320,TURF,0,0
08KS,2700,GRAVEL,1,0
08KT,40,CON,0,0
08KY,2500,TURF-G,0,0
08LA,30,TURF,0,0
08LL,2190,TURF-G,0,0
08LS,2000,TURF,0,0
08MA,1000,ASPH,0,0
08MD,45,MATS,1,0
08ME,2300,TURF-F,0,0
08MI,60,ROOF-TOP,1,0
08MN,11088,WATER,0,0
08MO,2640,TURF,0,0
08MO,2140,TURF,0,0
08MS,3725,ASPH-TURF,1,0
08MT,2600,DIRT,0,0
08N,2635,TURF-G,1,0
08NC,3200,TURF,0,0
08ND,1300,TURF,0,0
08NE,3000,TURF-G,1,0
08NH,80,CONC,1,0
08NJ,90,ASPH,0,0
08NR,1400,Turf,0,0
08NY,550,TURF,0,0
08NY,500,TURF,0,0
08OH,3000,TURF,0,0
08OK,1800,TURF,1,0
08OL,1029,Turf,0,0
08OR,2800,GRVL,0,0
08PA,200,TURF,0,0
08PN,50,ASPH,0,0
08R,2129,ASPH-P,1,0
08SD,42,CON,0,0
08TA,200,TURF,0,0
08TT,2015,CON,0,0
08TX,2100,TURF,1,0
08TX,1800,TURF,0,0
08U,3600,DIRT-F,0,0
08UT,5200,Dirt,0,0
08VA,1800,TURF,0,0
08XS,2350,TURF,0,0
09AA,22,Deck,0,0
09AK,1300,TURF,0,0
09AR,135,ASPH,0,0
09AZ,2350,DIRT,0,0
09CA,65,ASPH,1,0
09CL,3000,ASPH-F,0,0
09CN,50,CONC,1,0
09CO,3250,TURF,0,0
09FA,4800,ASPH-E,1,0
09FD,2649,TURF,0,0
09FL,46,Turf,0,0
09GA,2400,TURF,0,0
09I,5000,WATER,0,0
09I,5000,WATER,0,0
09IA,2700,ASPH-TURF,0,0
09ID,2300,TURF,0,0
09II,1600,TURF,0,0
09IN,2200,TURF,1,0
09IN,2200,TURF,0,0
09IS,39,CONC,0,0
09KS,2500,TURF,0,0
09KY,50,CONC,0,0
09LA,50,CONC,0,0
09LL,2300,TURF,0,0
09LS,40,CONC,1,0
09MA,1700,TURF,0,0
09MA,2000,TURF,0,0
09MD,40,Concrete/Turf,1,0
09ME,2000,TURF,0,0
09MI,40,CONC,0,0
09MO,1320,TURF,0,0
09MT,4018,Turf,0,0
09N,1863,TURF-F,0,0
09NC,2400,TURF,0,0
09NE,2500,TURF,0,0
09NJ,100,TURF,0,0
09NR,1800,Turf,0,0
09NR,24,CON,0,0
09NR,24,CON,0,0
09NV,40,CON,1,0
09NY,100,ASPH,0,0
09OK,2500,TURF,0,0
09OR,50,TURF,0,0
09PA,2300,TURF,0,0
09S,1765,TURF-P,0,0
09TA,2400,TURF-P,0,0
09TE,2815,TURF-F,0,0
09TN,80,CONC,0,0
09TS,4200,ASPH,0,0
09TX,2340,TURF,0,0
09TX,1220,TURF,0,0
09TX,5200,TURF,0,0
09VA,1100,TURF,0,0
09VG,96,CONC,1,0
09W,60,ASPH-G,0,0
09WA,60,CONC,0,0
09WI,2500,TURF,0,0
09XS,90,CONC,0,0
09Y,8000,WATER,0,0
0AA7,2539,Turf,0,0
0AK0,1050,TURF-G,0,0
0AK1,3000,WATER,0,0
0AK1,2200,GRAVEL,0,0
0AK2,1000,TURF-DIRT,0,0
0AK3,900,TURF,0,0
0AK5,1550,TURF,0,0
0AK6,1700,DIRT,0,0
0AK7,2400,GRVL,1,0
0AK9,2000,GRVL,0,0
0AL0,90,ASPH,0,0
0AL1,2640,TURF,0,0
0AL2,24,CONC,0,0
0AL3,24,CONC,0,0
0AL4,30,CONC,0,0
0AL5,2200,TURF,0,0
0AL6,49,ASPH,0,0
0AL7,30,CONC,0,0
0AL8,55,ASPH,0,0
0AL9,2200,TURF,0,0
0AR0,60,ASPH,1,0
0AR2,2800,TURF-GRVL,0,0
0AR4,11,ASPH,0,0
0AR5,42,CONC,0,0
0AR6,20,CONC,0,0
0AR8,30,CONC,0,0
0AR9,10,ASPH,0,0
0AZ0,40,MATS,1,0
0AZ2,1500,GRVL,0,0
0AZ2,3500,ASPH,0,0
0AZ4,2900,TURF,0,0
0AZ5,1400,ASPH-DIRT,0,0
0AZ6,40,CONC,0,0
0AZ6,40,CONC,0,0
0AZ6,40,CONC,0,0
