Locid,Airport Name,CY 23 Enplanements
EEO,Meeker Coulter Field,6
HEQ,Holyoke,6
BDU,Boulder Municipal,5
LIC,Limon Municipal,5
GXY,Greeley-Weld County,4
LAA,Southeast Colorado Regional,4
RCV,Astronaut Kent Rominger,3
ITR,Kit Carson County,2
PSO,Stevens Field,2
CFO,Colorado Air and Space Port,1
GNB,Granby-Grand County,1
BDL,Bradley International,"3,122,212"
HVN,Tweed/New Haven,"490,255"
BDR,Bridgeport/Sikorsky,554
OXC,Waterbury-Oxford,238
GON,Groton-New London,116
DXR,Danbury Municipal,102
HFD,Hartford-Brainard,56
4B8,Robertson Field,26
MMK,Meriden Markham Municipal,10
IJD,Windham,9
SNC,Chester,6
4B9,Simsbury,2
ILG,New Castle,"133,377"
DOV,Dover AFB,383
GED,Delaware Coastal,81
EVY,Summit,15
33N,Delaware Airpark,5
MCO,Orlando International,"28,033,205"
MIA,Miami International,"24,717,048"
FLL,Fort Lauderdale/Hollywood International,"17,063,063"
TPA,Tampa International,"11,677,632"
RSW,Southwest Florida International,"4,963,269"
PBI,Palm Beach International,"3,815,977"
JAX,Jacksonville International,"3,619,739"
SRQ,Sarasota/Bradenton International,"2,144,736"
SFB,Orlando Sanford International,"1,446,884"
PNS,Pensacola International,"1,365,976"
PIE,St Pete-Clearwater International,"1,246,323"
VPS,Eglin AFB/Destin-Ft Walton Beach,"1,116,717"
PGD,Punta Gorda,"949,732"
ECP,Northwest Florida Beaches International,"816,642"
EYW,Key West International,"675,343"
TLH,Tallahassee International,"416,501"
MLB,Melbourne Orlando International,"363,844"
DAB,Daytona Beach International,"348,080"
GNV,Gainesville Regional,"273,366"
VRB,Vero Beach Regional,"42,329"
FXE,Fort Lauderdale Exec,"10,625"
NIP,Jacksonville NAS (Towers Field),"8,687"
OPF,Miami-Opa Locka Exec,"7,215"
DTS,Destin Exec,"5,256"
BCT,Boca Raton,"1,389"
PAM,Tyndall AFB,"1,166"
NQX,Key West NAS (Boca Chica Field),878
APF,Naples Municipal,829
HRT,Hurlburt Field,734
SUA,Witham Field,581
ORL,Exec,548
07FA,Ocean Reef Club,403
COF,Patrick Space Force Base,364
TMB,Miami Exec,296
VQQ,Cecil,254
