K4M9,SMALL,Corning Municipal Airport,36.404202,-90.647903,North America,United States,Arkansas,Corning,4299,0
K5M8,SMALL,Gurdon Lowe Field,33.92390060424805,-93.16870117,North America,United States,Arkansas,Gurdon,4403,0
K6M0,SMALL,Hazen Municipal Airport - David Duch Field,34.759399,-91.6381,North America,United States,Arkansas,Hazen,4227,0
K6M2,SMALL,Horseshoe Bend Airport,36.22140121459961,-91.75550079,North America,United States,Arkansas,Horseshoe Bend,4524,0
K6M7,SMALL,Marianna/Lee County Airport Steve Edwards Field,34.7803,-90.8106,North America,United States,Arkansas,Marianna,4000,0
73AR,SMALL,Dogwood Airport,35.052948,-92.053904,North America,United States,Arkansas,Austin,4000,0
K7M1,SMALL,McGehee Municipal Airport,33.620201,-91.3648,North America,United States,Arkansas,McGehee,4007,0
K7M2,SMALL,Mountain View Wilcox Memorial Field,35.864498,-92.090302,North America,United States,Arkansas,Mountain View,4502,0
K7M3,SMALL,Mount Ida-Bearce Airport,34.529081,-93.529379,North America,United States,Arkansas,Mount Ida,4000,0
KM89,SMALL,Dexter B Florence Memorial Field,34.09980011,-93.06610107,North America,United States,Arkansas,Arkadelphia,5000,0
KAGO,SMALL,Magnolia Municipal Airport / Ralph C Weiser Field,33.228001,-93.217002,North America,United States,Arkansas,Magnolia,4610,4
KARG,SMALL,Walnut Ridge Regional Airport,36.124667,-90.925111,North America,United States,Arkansas,Walnut Ridge,6001,0
KASG,SMALL,Springdale Municipal Airport,36.17639923,-94.11930084,North America,United States,Arkansas,Springdale,5302,9
KAWM,SMALL,West Memphis Municipal Airport,35.13510132,-90.23439789,North America,United States,Arkansas,West Memphis,6003,16
KBDQ,SMALL,Morrilton Municipal Airport,35.1362,-92.713501,North America,United States,Arkansas,Morrilton,4000,0
KBPK,MEDIUM,Ozark Regional Airport,36.3689003,-92.47049713,North America,United States,Arkansas,Mountain Home,5001,0
KBVX,SMALL,Batesville Regional Airport,35.7262,-91.647301,North America,United States,Arkansas,Batesville,6002,0
KBYH,MEDIUM,Arkansas International Airport,35.96429825,-89.94400024,North America,United States,Arkansas,Blytheville,11602,3
KCDH,SMALL,Harrell Field,33.622798919699996,-92.76339722,North America,United States,Arkansas,Camden,6501,0
KCRT,SMALL,Z M Jack Stell Field,33.17829895,-91.88020325,North America,United States,Arkansas,Crossett,5009,0
KCVK,SMALL,Sharp County Regional Airport,36.26490021,-91.56259918,North America,United States,Arkansas,Ash Flat,5156,0
KCXW,SMALL,Conway Regional Airport,35.019889,-92.555111,North America,United States,Arkansas,Conway,5500,0
KDEQ,SMALL,J Lynn Helms Sevier County Airport,34.047001,-94.399399,North America,United States,Arkansas,DeQueen,5000,0
KELD,MEDIUM,South Arkansas Regional Airport at Goodwin Field,33.221001,-92.813301,North America,United States,Arkansas,El Dorado,6600,3144
KFLP,SMALL,Marion County Regional Airport,36.29090118,-92.59030151,North America,United States,Arkansas,Flippin,5000,0
KFSM,MEDIUM,Fort Smith Regional Airport,35.336601,-94.367401,North America,United States,Arkansas,Fort Smith,8000,58615
KFYV,MEDIUM,Drake Field,36.00510025024414,-94.17009735,North America,United States,Arkansas,Fayetteville,6006,1054
KH35,SMALL,Clarksville Municipal Airport,35.470699,-93.4272,North America,United States,Arkansas,Clarksville,4508,0
KHBZ,SMALL,Heber Springs Municipal Airport,35.5117,-92.013,North America,United States,Arkansas,Heber Springs,4002,0
KHKA,SMALL,Blytheville Municipal Airport,35.940399169900004,-89.83080292,North America,United States,Arkansas,Blytheville,5001,0
KHOT,MEDIUM,Memorial Field Airport,34.4788,-93.096262,North America,United States,Arkansas,Hot Springs,6595,3727
KHRO,MEDIUM,Boone County Airport,36.26150131225586,-93.15470123,North America,United States,Arkansas,Harrison,6161,4565
KJBR,MEDIUM,Jonesboro Municipal Airport,35.83169937133789,-90.64640045,North America,United States,Arkansas,Jonesboro,6200,2194
KLIT,MEDIUM,Bill & Hillary Clinton National Airport/Adams Field,34.729582,-92.223728,North America,United States,Arkansas,Little Rock,8273,1097472
KLLQ,MEDIUM,Monticello Municipal Ellis Field,33.638599,-91.750999,North America,United States,Arkansas,Monticello,5018,0
KLRF,MEDIUM,Little Rock Air Force Base,34.916900634799994,-92.14969635,North America,United States,Arkansas,Jacksonville,12000,519
KM18,SMALL,Hope Municipal Airport,33.7201,-93.658798,North America,United States,Arkansas,Hope,5500,0
KM19,SMALL,Newport Regional Airport,35.637699,-91.176397,North America,United States,Arkansas,Newport,5002,0
KM27,SMALL,Waldron Municipal Airport,34.875999,-94.109299,North America,United States,Arkansas,Waldron,4000,0
KM32,SMALL,Lake Village Municipal Airport,33.34600067138672,-91.31569672,North America,United States,Arkansas,Lake Village,4000,0
KM36,SMALL,Frank Federer Memorial Airport,34.88029861450195,-91.17639923,North America,United States,Arkansas,Brinkley,4004,0
KMEZ,SMALL,Mena Intermountain Municipal Airport,34.545399,-94.202698,North America,United States,Arkansas,Mena,6000,1
KMXA,SMALL,Manila Municipal Airport,35.894402,-90.154602,North America,United States,Arkansas,Manila,4200,0
KORK,SMALL,North Little Rock Municipal Airport,34.83309937,-92.25409698,North America,United States,Arkansas,North Little Rock,5002,0
KPBF,MEDIUM,Pine Bluff Regional Airport Grider Field,34.174121,-91.935643,North America,United States,Arkansas,Pine Bluff,5998,0
KPGR,SMALL,Kirk Field,36.06290054,-90.50779724,North America,United States,Arkansas,Paragould,4500,0
KRBM,SMALL,Robinson Army Air Field,34.847656,-92.29949,North America,United States,Arkansas,North Little Rock,5000,0
KROG,SMALL,Rogers Municipal Airport-Carter Field,36.37229919,-94.10690308,North America,United States,Arkansas,Rogers,6011,46
KRUE,SMALL,Russellville Regional Airport,35.259102,-93.0933,North America,United States,Arkansas,Russellville,5094,0
KSGT,SMALL,Stuttgart Municipal Airport / Carl Humphrey Field,34.599499,-91.574997,North America,United States,Arkansas,Stuttgart,6015,5
KSLG,SMALL,Smith Field,36.191898,-94.489998,North America,United States,Arkansas,Siloam Springs,4999,0
KSRC,SMALL,Searcy Municipal Airport,35.210602,-91.737503,North America,United States,Arkansas,Searcy,6008,9
KTXK,MEDIUM,Texarkana Regional Airport (Webb Field),33.453701,-93.990997,North America,United States,Arkansas,Texarkana,6601,41951
KVBT,SMALL,Bentonville Municipal-Louise M Thaden Field,36.345699,-94.219299,North America,United States,Arkansas,Bentonville,4082,3
KXNA,MEDIUM,Northwest Arkansas National Airport,36.281898,-94.306801,North America,United States,Arkansas,Fayetteville,8800,972907
K0V7,SMALL,Kayenta Airport,36.716444,-110.228444,North America,United States,Arizona,Kayenta,7140,0
18AZ,SMALL,Sky Ranch At Carefree Airport,33.818536,-111.898327,North America,United States,Arizona,Carefree,4037,0
1AZ0,SMALL,Bishop Airfield,33.1119,-112.268997,North America,United States,Arizona,Mobile,4500,0
